feature,importance
T2M_MIN,0.644541027337078
T2M_MAX,0.34102088998298563
T2MDEW,0.007155700800945405
PS,0.0029820310558178503
WS2M,0.0013944555600882344
RH2M,0.0012978037261681264
ALLSKY_SFC_SW_DWN,0.001110438568562677
PRECTOTCORR,0.0004976529683541308
