,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,PS,T2MDEW
count,4018.0,4018.0,4018.0,4018.0,4018.0,4018.0,4018.0,4018.0,4018.0
mean,22.84678944748631,29.31062717770035,17.52352663016426,72.55264559482329,3.577379293180687,2.0946739671478345,5.449636012941762,96.56273021403685,16.635024888003983
std,3.507962995438285,4.401968103173535,3.616828772260208,12.667718472806378,9.18837195126271,0.9262758558547236,1.5127786981985858,0.4547462065924891,4.0811244724706235
min,14.45,18.28,8.29,16.69,0.0,0.48,0.6634,95.08,0.53
25%,19.9925,26.17,14.47,64.065,0.01,1.42,4.485925,96.22,13.57
50%,23.095,28.75,17.744999999999997,74.15,0.27,1.88,5.4369499999999995,96.54,16.67
75%,25.3275,32.167500000000004,20.61,82.87,2.6275,2.57,6.5476,96.89,20.14
max,34.29,45.07,25.98,95.35,117.6,7.94,8.8723,97.95,24.01
